bits_1_11,note_count,notes
0,1,C
1,2,C D♭
2,2,C D
3,3,C D♭ D
4,2,C E♭
5,3,C D♭ E♭
6,3,C D E♭
7,4,C D♭ D E♭
8,2,C E
9,3,C D♭ E
10,3,C D E
11,4,C D♭ D E
12,3,C E♭ E
13,4,C D♭ E♭ E
14,4,C D E♭ E
15,5,C D♭ D E♭ E
16,2,C F
17,3,C D♭ F
18,3,C D F
19,4,C D♭ D F
20,3,C E♭ F
21,4,C D♭ E♭ F
22,4,C D E♭ F
23,5,C D♭ D E♭ F
24,3,C E F
25,4,C D♭ E F
26,4,C D E F
27,5,C D♭ D E F
28,4,C E♭ E F
29,5,C D♭ E♭ E F
30,5,C D E♭ E F
31,6,C D♭ D E♭ E F
32,2,C F♯
33,3,C D♭ F♯
34,3,C D F♯
35,4,C D♭ D F♯
36,3,C E♭ F♯
37,4,C D♭ E♭ F♯
38,4,C D E♭ F♯
39,5,C D♭ D E♭ F♯
40,3,C E F♯
41,4,C D♭ E F♯
42,4,C D E F♯
43,5,C D♭ D E F♯
44,4,C E♭ E F♯
45,5,C D♭ E♭ E F♯
46,5,C D E♭ E F♯
47,6,C D♭ D E♭ E F♯
48,3,C F F♯
49,4,C D♭ F F♯
50,4,C D F F♯
51,5,C D♭ D F F♯
52,4,C E♭ F F♯
53,5,C D♭ E♭ F F♯
54,5,C D E♭ F F♯
55,6,C D♭ D E♭ F F♯
56,4,C E F F♯
57,5,C D♭ E F F♯
58,5,C D E F F♯
59,6,C D♭ D E F F♯
60,5,C E♭ E F F♯
61,6,C D♭ E♭ E F F♯
62,6,C D E♭ E F F♯
63,7,C D♭ D E♭ E F F♯
64,2,C G
65,3,C D♭ G
66,3,C D G
67,4,C D♭ D G
68,3,C E♭ G
69,4,C D♭ E♭ G
70,4,C D E♭ G
71,5,C D♭ D E♭ G
72,3,C E G
73,4,C D♭ E G
74,4,C D E G
75,5,C D♭ D E G
76,4,C E♭ E G
77,5,C D♭ E♭ E G
78,5,C D E♭ E G
79,6,C D♭ D E♭ E G
80,3,C F G
81,4,C D♭ F G
82,4,C D F G
83,5,C D♭ D F G
84,4,C E♭ F G
85,5,C D♭ E♭ F G
86,5,C D E♭ F G
87,6,C D♭ D E♭ F G
88,4,C E F G
89,5,C D♭ E F G
90,5,C D E F G
91,6,C D♭ D E F G
92,5,C E♭ E F G
